symbol,grey_market_date,grey_close,grey_change_pct,premium_to_ipo_price,source_url,source_note,collected_at
02649.HK,2026-03-06,22.09,0.2341,0.2341,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02692.HK,2026-03-06,26.01,-0.0172,-0.0172,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02715.HK,2026-03-06,12.48,-0.021,-0.021,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03268.HK,2026-03-09,32.59,-0.0001,-0.0001,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
07489.HK,2026-03-18,40.67,-0.0785,-0.0785,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01989.HK,2026-03-19,28.46,0.0524,0.0524,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02701.HK,2026-03-20,12.09,0.0871,0.0871,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03355.HK,2026-03-20,16.41,-0.0829,-0.0829,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02632.HK,2026-03-23,35.09,-0.0135,-0.0135,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02729.HK,2026-03-23,31.13,0.1716,0.1716,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01021.HK,2026-03-27,53.85,0.165,0.165,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02526.HK,2026-03-27,49.11,0.1349,0.1349,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02726.HK,2026-03-27,13.4,-0.0711,-0.0711,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
06636.HK,2026-03-27,18.16,-0.0269,-0.0269,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
00664.HK,2026-03-30,27.54,-0.0606,-0.0606,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03625.HK,2026-03-30,55.13,0.2437,0.2437,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
06656.HK,2026-04-15,34.9,0.0724,0.0724,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
00068.HK,2026-04-16,48.84,-0.0684,-0.0684,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03277.HK,2026-04-16,65.4,0.1514,0.1514,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02476.HK,2026-04-20,90.59,0.0476,0.0476,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03296.HK,2026-04-22,93.85,-0.0418,-0.0418,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01879.HK,2026-04-27,67.79,0.0791,0.0791,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02493.HK,2026-04-27,67.41,-0.1214,-0.1214,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
06810.HK,2026-04-28,59.5,-0.0907,-0.0907,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01609.HK,2026-05-04,58.46,0.1933,0.1933,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01187.HK,2026-05-05,23.34,0.041,0.041,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01236.HK,2026-05-08,34.91,-0.0816,-0.0816,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
07630.HK,2026-05-12,64.12,0.083,0.083,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
07666.HK,2026-05-12,80.99,0.206,0.206,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
06871.HK,2026-05-15,71.06,0.1432,0.1432,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01511.HK,2026-05-19,80.89,0.086,0.086,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
07688.HK,2026-05-19,106.83,0.1795,0.1795,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
06872.HK,2026-05-21,63.05,-0.0478,-0.0478,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
00901.HK,2026-05-26,24.89,0.2205,0.2205,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02723.HK,2026-05-26,28.07,-0.1421,-0.1421,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03310.HK,2026-05-26,64.47,-0.0306,-0.0306,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03388.HK,2026-05-28,98.08,0.1622,0.1622,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02553.HK,2026-06-02,40.08,0.0786,0.0786,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01081.HK,2026-06-04,46.97,0.0008,0.0008,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01779.HK,2026-06-04,62.63,0.1018,0.1018,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02290.HK,2026-06-04,33.01,-0.0775,-0.0775,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
