symbol,listing_date,ipo_price,offer_price_low,offer_price_high,sponsor,industry,public_subscription_multiple,one_lot_success_rate,source_url,source_note,collected_at
00068.HK,2026-04-17,63.34,57.01,69.67,华泰国际,科技,19.5,0.8323,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03277.HK,2026-04-17,39.4,35.46,43.34,摩根士丹利,科技,32.1,0.3175,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02476.HK,2026-04-21,53.1,47.79,58.41,中信证券,科技,94.8,0.9627,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03296.HK,2026-04-23,68.04,61.24,74.84,高盛,科技,152.3,0.2331,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01879.HK,2026-04-28,27.74,24.97,30.51,高盛,科技,34.8,0.7985,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02493.HK,2026-04-28,34.4,30.96,37.84,中金公司,医疗健康,127.4,0.802,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
06810.HK,2026-04-29,62.3,56.07,68.53,华泰国际,科技,43.0,0.9687,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01609.HK,2026-05-05,59.5,53.55,65.45,JP Morgan,医疗健康,191.4,0.9847,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01187.HK,2026-05-06,64.92,58.43,71.41,摩根士丹利,医疗健康,154.3,0.235,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01236.HK,2026-05-11,47.86,43.07,52.65,JP Morgan,医疗健康,37.9,0.4167,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
07630.HK,2026-05-13,48.63,43.77,53.49,JP Morgan,医疗健康,10.9,0.8057,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
07666.HK,2026-05-13,41.64,37.48,45.8,瑞银,医疗健康,88.5,0.7707,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
06871.HK,2026-05-18,71.78,64.6,78.96,瑞银,医疗健康,163.7,0.4779,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01511.HK,2026-05-20,75.97,68.37,83.57,中金公司,科技,146.5,0.2228,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
07688.HK,2026-05-20,16.4,14.76,18.04,中金公司,科技,54.1,0.2249,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
06872.HK,2026-05-22,77.1,69.39,84.81,中金公司,科技,105.8,0.4417,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
00901.HK,2026-05-27,36.33,32.7,39.96,华泰国际,金融服务,40.6,0.1891,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02723.HK,2026-05-27,37.86,34.07,41.65,摩根士丹利,科技,132.9,0.9077,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03310.HK,2026-05-27,48.14,43.33,52.95,中信证券,科技,35.7,0.8114,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03388.HK,2026-05-29,79.06,71.15,86.97,华泰国际,科技,107.3,0.6489,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02553.HK,2026-06-03,38.52,34.67,42.37,高盛,新能源,77.8,0.2247,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01081.HK,2026-06-05,37.92,34.13,41.71,国泰君安,制造业,168.8,0.2643,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01779.HK,2026-06-05,16.95,15.25,18.64,高盛,医疗健康,167.7,0.6602,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02290.HK,2026-06-05,29.92,26.93,32.91,海通国际,制造业,162.3,0.9644,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
